id,label,predict
2402,0,1
885,0,1
2270,0,0
425,0,1
1234,0,0
2660,0,1
1650,0,0
538,0,1
108,0,0
2319,0,1
2839,0,1
1481,0,0
1510,0,1
2694,0,1
2489,0,1
2271,0,1
1261,0,0
1539,0,1
1488,0,1
1723,0,1
1649,0,0
2156,0,1
2862,0,1
715,0,1
37,0,1
1725,0,0
1513,0,1
2444,0,1
2175,0,0
1748,0,1
1195,0,0
391,0,0
1741,0,1
1287,0,1
2462,0,1
1605,0,1
1264,0,1
1502,0,1
1620,0,1
33,0,1
2359,0,1
2198,0,0
1895,0,0
379,0,1
1999,0,0
2531,0,0
877,0,1
2749,0,1
884,0,1
77,0,1
2511,0,0
870,0,0
579,0,1
656,0,0
483,0,1
1224,0,0
2266,0,0
2501,0,1
2394,0,1
2655,0,1
575,0,1
2771,0,0
1715,0,1
1922,0,1
2017,0,1
2471,0,1
1898,0,1
2536,0,1
2158,0,0
427,0,0
315,0,1
2426,0,1
758,0,1
2348,0,0
577,0,1
543,0,1
2719,0,1
828,0,1
1239,0,0
2251,0,0
2468,0,0
1547,0,1
2330,0,1
1713,0,0
1627,0,0
743,0,1
2300,0,1
1727,0,1
813,0,1
1242,0,0
1582,0,1
2785,0,1
1280,0,1
515,0,1
123,0,1
1251,0,1
718,0,0
316,0,0
2174,0,0
281,0,1
2238,0,1
228,0,1
564,0,0
2195,0,0
2236,0,0
51,0,1
1660,0,0
1256,0,1
1707,0,1
2685,0,1
1507,0,1
557,0,1
1285,0,1
475,0,1
2808,0,0
2315,0,1
1277,0,1
1169,0,0
30,0,0
604,0,1
2260,0,1
1271,0,0
2297,0,1
2842,0,1
919,0,0
509,0,0
75,0,1
1235,0,1
1617,0,1
1988,0,1
720,0,1
2848,0,1
28,0,1
1572,0,0
1671,0,1
1607,0,1
2269,0,0
558,0,1
1751,0,1
520,0,1
1709,0,1
1664,0,0
633,0,1
752,0,0
1229,0,0
1492,0,1
2447,0,0
1900,0,1
2870,0,1
1178,0,1
2704,1,1
2020,1,1
1779,1,1
826,1,1
1637,1,1
1411,1,1
892,1,1
1808,1,0
2540,1,1
1876,1,1
1923,1,1
2101,1,1
2485,1,1
1085,1,0
2094,1,1
1563,1,1
2071,1,1
547,1,0
1597,1,1
1402,1,1
1069,1,1
2465,1,1
2070,1,1
2346,1,1
2005,1,0
2609,1,1
2096,1,0
1551,1,1
1382,1,1
908,1,1
2807,1,1
2595,1,1
1698,1,1
1975,1,0
1378,1,0
2059,1,0
850,1,1
2461,1,1
2545,1,0
1774,1,1
1377,1,1
978,1,1
2762,1,1
1335,1,0
2446,1,1
2791,1,1
2562,1,1
251,1,1
255,1,1
2647,1,1
2637,1,1
2012,1,1
1400,1,0
2255,1,0
2368,1,0
62,1,1
20,1,0
1019,1,1
679,1,0
966,1,1
2033,1,0
2431,1,1
2057,1,1
1035,1,1
2400,1,1
795,1,0
2192,1,1
1540,1,1
2687,1,1
2836,1,1
2038,1,0
1363,1,1
2413,1,1
550,1,0
2560,1,1
1933,1,1
385,1,0
2525,1,0
1522,1,1
1997,1,1
669,1,0
1438,1,1
596,1,0
925,1,1
1594,1,0
2116,1,0
168,1,1
1339,1,1
1538,1,1
1314,1,0
1337,1,1
2853,1,1
1293,1,1
90,1,0
1361,1,1
2220,1,1
161,1,0
646,1,1
1038,1,1
1872,1,0
1375,1,1
2843,1,1
2301,1,0
2575,1,1
1120,1,1
1569,1,0
1849,1,0
1763,1,0
2086,1,1
2066,1,1
201,1,1
1790,1,1
1931,1,1
1336,1,0
2850,1,1
2009,1,1
96,1,1
1806,1,0
1983,1,0
2858,1,1
747,1,1
2548,1,1
317,1,1
65,1,1
927,1,1
2072,1,1
1110,1,1
819,1,0
1124,1,1
2566,1,1
2205,1,0
982,1,0
2207,1,0
2668,1,1
1909,1,1
2689,1,1
1003,1,1
2037,1,0
746,1,0
822,1,0
928,1,1
1350,1,1
2804,1,0
2467,1,1
1365,1,1
55,1,1
1829,1,1
2788,1,1
2041,1,1
2810,1,1
