id,label,predict
1228,0,1
730,0,0
1472,0,1
1479,0,1
2872,0,1
2234,0,0
2489,0,1
1186,0,0
759,0,1
149,0,1
1268,0,1
138,0,0
1511,0,0
1769,0,1
2596,0,0
2809,0,1
1632,0,0
1254,0,0
2022,0,0
143,0,1
668,0,1
2610,0,0
805,0,1
2053,0,1
681,0,1
2538,0,0
2509,0,1
740,0,1
613,0,1
1735,0,1
849,0,1
2577,0,1
2756,0,1
1782,0,1
2443,0,1
2082,0,0
2380,0,1
1773,0,1
2607,0,0
1529,0,1
39,0,1
1478,0,1
2459,0,1
1450,0,0
649,0,0
2470,0,1
2510,0,0
49,0,1
800,0,1
754,0,0
614,0,1
292,0,1
2226,0,1
305,0,1
2201,0,0
1900,0,1
1502,0,1
2373,0,1
1958,0,1
1483,0,0
2597,0,1
782,0,1
2181,0,0
1507,0,1
1740,0,1
1497,0,1
2559,0,0
1503,0,0
2600,0,0
2316,0,1
702,0,1
52,0,1
2824,0,1
490,0,1
1248,0,1
120,0,1
2311,0,1
2321,0,0
2749,0,1
357,0,1
1258,0,1
2319,0,1
2250,0,0
481,0,1
1701,0,0
2601,0,0
2531,0,0
700,0,0
1615,0,0
830,0,1
870,0,0
1480,0,1
720,0,1
41,0,1
610,0,0
316,0,0
1255,0,0
2017,0,1
1894,0,1
1501,0,1
1607,0,1
1572,0,0
2340,0,0
306,0,1
2839,0,1
2452,0,0
2464,0,1
2414,0,1
543,0,1
708,0,1
1880,0,0
2355,0,1
774,0,1
82,0,1
1890,0,1
2329,0,1
503,0,1
2690,0,0
1650,0,0
1516,0,1
544,0,1
2369,0,0
2179,0,0
349,0,1
1852,0,0
2462,0,1
769,0,1
1500,0,0
1664,0,0
2783,0,1
1453,0,1
1242,0,0
1461,0,1
1496,0,0
308,0,1
363,0,1
144,0,1
2654,0,1
2347,0,1
1951,0,0
288,0,1
2128,0,0
710,0,0
895,0,1
2471,0,1
1914,0,1
475,0,1
287,0,0
1287,0,1
479,0,0
2098,1,1
2763,1,1
1019,1,1
2005,1,0
2541,1,1
1685,1,1
2116,1,0
182,1,0
1412,1,1
1704,1,1
394,1,1
2113,1,1
514,1,0
370,1,0
1303,1,1
2744,1,1
1403,1,1
1602,1,1
2480,1,0
2852,1,0
2819,1,1
2582,1,1
959,1,1
468,1,0
804,1,0
1116,1,0
2025,1,1
2754,1,1
2136,1,1
2658,1,1
2243,1,1
179,1,1
1541,1,0
2807,1,1
2058,1,1
1426,1,1
499,1,0
2343,1,1
1482,1,1
2589,1,1
1405,1,0
2409,1,1
1440,1,1
2584,1,1
1127,1,1
2428,1,1
125,1,0
1737,1,1
1581,1,0
1434,1,0
2451,1,0
2216,1,1
1522,1,1
1689,1,1
1850,1,0
2157,1,1
1376,1,1
928,1,1
100,1,1
1987,1,1
965,1,1
354,1,1
1590,1,0
933,1,1
1075,1,1
2147,1,1
1841,1,0
1911,1,1
625,1,0
1954,1,0
2424,1,1
1686,1,1
2003,1,1
1029,1,1
389,1,1
2103,1,0
2026,1,1
1979,1,1
1846,1,0
2784,1,1
907,1,0
2252,1,1
2723,1,1
1809,1,1
1297,1,1
2675,1,0
1377,1,1
2099,1,0
2331,1,1
1959,1,0
1863,1,1
218,1,0
2798,1,1
187,1,1
2833,1,1
2612,1,1
2732,1,0
1439,1,0
1038,1,1
1043,1,1
2013,1,1
2081,1,1
1442,1,0
1411,1,1
2356,1,0
1871,1,1
1820,1,0
2189,1,0
2037,1,0
2736,1,1
2503,1,0
1779,1,1
2360,1,0
1115,1,1
1960,1,1
834,1,1
47,1,1
2415,1,0
307,1,1
1742,1,1
1052,1,1
1099,1,1
2621,1,1
906,1,1
2469,1,0
1293,1,1
1315,1,0
2555,1,1
1591,1,0
259,1,1
2400,1,1
2301,1,0
2485,1,1
1589,1,1
2309,1,1
2622,1,0
2057,1,1
1993,1,0
2422,1,0
2671,1,1
2733,1,1
1415,1,1
1354,1,1
2206,1,1
1393,1,1
2679,1,1
34,1,0
286,1,0
2212,1,0
1860,1,1
