id,label,predict
471,0,1
1713,0,0
2721,0,1
1672,0,1
18,0,1
1725,0,0
1497,0,1
1982,0,0
318,0,1
2141,0,0
474,0,0
2082,0,0
2120,0,0
1612,0,0
2660,0,1
33,0,1
1239,0,0
859,0,1
2330,0,1
316,0,0
1951,0,0
2510,0,0
1600,0,0
2651,0,1
2688,0,1
1215,0,1
1261,0,0
2394,0,1
269,0,1
1626,0,0
2299,0,0
1662,0,1
2448,0,0
424,0,1
2319,0,1
509,0,0
2607,0,0
1663,0,1
2315,0,1
1229,0,0
349,0,1
1561,0,0
2693,0,1
461,0,1
2625,0,0
219,0,1
1769,0,1
1893,0,0
1654,0,0
1209,0,1
296,0,0
2749,0,1
801,0,1
289,0,1
2872,0,1
1970,0,1
1278,0,0
1186,0,0
484,0,0
745,0,0
4,0,1
390,0,1
2601,0,0
1506,0,0
2501,0,1
1607,0,1
893,0,1
1830,0,1
1605,0,1
1465,0,1
524,0,1
2547,0,1
2124,0,1
1264,0,1
1217,0,0
2269,0,0
873,0,1
765,0,1
1258,0,1
2476,0,1
223,0,1
138,0,0
2756,0,1
464,0,1
662,0,1
607,0,1
2863,0,1
1529,0,1
1265,0,0
380,0,1
773,0,1
2427,0,0
569,0,1
581,0,1
2821,0,1
1162,0,0
2386,0,1
54,0,1
1707,0,1
2487,0,1
1232,0,1
2414,0,1
1740,0,1
2022,0,0
2329,0,1
322,0,1
544,0,1
833,0,1
160,0,1
1185,0,0
1719,0,1
1898,0,1
1222,0,0
1500,0,0
2164,0,0
173,0,1
924,0,1
2416,0,1
2466,0,1
1267,0,1
1159,0,1
2246,0,1
1782,0,1
1560,0,1
198,0,1
1160,0,1
1799,0,1
2727,0,0
622,0,1
560,0,1
2504,0,0
783,0,1
2842,0,1
1153,0,1
1701,0,0
2230,0,0
2452,0,0
1195,0,0
777,0,1
2303,0,0
2752,0,1
2408,0,0
1795,0,1
2280,0,1
1756,0,1
280,0,1
1508,0,1
2536,0,1
1471,0,0
1196,0,0
1710,1,1
2219,1,1
2563,1,1
337,1,0
947,1,1
1400,1,0
2075,1,1
1781,1,0
2283,1,1
2364,1,1
1006,1,1
263,1,1
996,1,1
816,1,0
1849,1,0
2703,1,1
2121,1,1
2222,1,1
1019,1,1
1694,1,1
2631,1,1
1319,1,1
2192,1,1
2648,1,1
1114,1,1
1546,1,1
2008,1,1
2457,1,0
1975,1,0
437,1,0
1375,1,1
88,1,1
210,1,0
1907,1,1
1308,1,1
2598,1,1
2220,1,1
2361,1,1
2865,1,0
11,1,1
2065,1,1
1095,1,0
1811,1,1
1086,1,0
971,1,1
713,1,0
1947,1,1
1433,1,1
2481,1,1
1971,1,1
1350,1,1
2123,1,1
1553,1,1
2858,1,1
1637,1,1
1352,1,1
2729,1,0
2595,1,1
1134,1,1
1820,1,0
2309,1,1
820,1,0
900,1,1
2646,1,1
7,1,1
1688,1,1
370,1,0
2093,1,0
2401,1,1
2059,1,0
1298,1,1
2671,1,1
1360,1,1
1542,1,0
2142,1,1
1841,1,0
1567,1,1
1032,1,1
1757,1,1
1300,1,1
2043,1,1
824,1,0
2096,1,0
1787,1,1
2025,1,1
1418,1,1
770,1,1
747,1,1
1579,1,0
20,1,0
671,1,0
1441,1,1
46,1,1
1881,1,0
2570,1,1
1442,1,0
1310,1,1
872,1,1
2705,1,1
2475,1,1
547,1,0
180,1,1
600,1,1
389,1,1
167,1,0
2326,1,1
2792,1,1
57,1,0
1962,1,1
2161,1,0
2637,1,1
935,1,1
2866,1,1
1401,1,1
2306,1,1
1058,1,1
1901,1,1
202,1,1
2453,1,1
265,1,0
2338,1,1
1351,1,1
2190,1,0
1541,1,0
1976,1,1
1985,1,1
245,1,1
2743,1,0
1097,1,0
2070,1,1
2391,1,1
2088,1,1
2432,1,1
936,1,1
1777,1,1
987,1,1
87,1,0
1833,1,0
2542,1,1
1882,1,1
392,1,1
2229,1,1
2102,1,0
413,1,1
2454,1,1
2526,1,1
2341,1,1
21,1,1
1323,1,1
1037,1,1
